District,Location,School Type,Category,Composition,Number,Population,No/100000
Badin,Rural,Secondary,ENROLMENT,TOTAL,21993,"1,804,516",1218.775561
Badin,Rural,Secondary,ENROLMENT,MALE,15585,"1,804,516",863.6664901
Badin,Rural,Secondary,ENROLMENT,FEMALE,6408,"1,804,516",355.1090708
Badin,Rural,Secondary,TEACHING STAFF,TOTAL,813,"1,804,516",45.05363211
Badin,Rural,Secondary,TEACHING STAFF,MALE,629,"1,804,516",34.85699212
Badin,Rural,Secondary,TEACHING STAFF,FEMALE,184,"1,804,516",10.19663999
Badin,Rural,Higher secondary,INSTITUTIONS,TOTAL,3,"1,804,516",0.166249565
Badin,Rural,Higher secondary,INSTITUTIONS,MALE,1,"1,804,516",0.055416522
Badin,Rural,Higher secondary,INSTITUTIONS,FEMALE,0,"1,804,516",0
Badin,Rural,Higher secondary,INSTITUTIONS,MIXED,2,"1,804,516",0.110833043
Badin,Rural,Higher secondary,ENROLMENT,TOTAL,2827,"1,804,516",156.6625067
Badin,Rural,Higher secondary,ENROLMENT,MALE,2474,"1,804,516",137.1004746
Badin,Rural,Higher secondary,ENROLMENT,FEMALE,353,"1,804,516",19.56203215
Badin,Rural,Higher secondary,TEACHING STAFF,TOTAL,57,"1,804,516",3.158741735
Badin,Rural,Higher secondary,TEACHING STAFF,MALE,54,"1,804,516",2.99249217
Badin,Rural,Higher secondary,TEACHING STAFF,FEMALE,3,"1,804,516",0.166249565
Badin,Total,Primary,INSTITUTIONS,TOTAL,2763,"1,804,516",153.1158493
Badin,Total,Primary,INSTITUTIONS,MALE,432,"1,804,516",23.93993736
Badin,Total,Primary,INSTITUTIONS,FEMALE,274,"1,804,516",15.18412693
Badin,Total,Primary,INSTITUTIONS,MIXED,2057,"1,804,516",113.9917851
Badin,Total,Primary,ENROLMENT,TOTAL,140162,"1,804,516",7767.290509
Badin,Total,Primary,ENROLMENT,MALE,93245,"1,804,516",5167.313562
Badin,Total,Primary,ENROLMENT,FEMALE,46917,"1,804,516",2599.976947
Badin,Total,Primary,TEACHING STAFF,TOTAL,4256,"1,804,516",235.8527162
Badin,Total,Primary,TEACHING STAFF,MALE,3579,"1,804,516",198.335731
Badin,Total,Primary,TEACHING STAFF,FEMALE,677,"1,804,516",37.51698516
Badin,Total,Middle,INSTITUTIONS,TOTAL,101,"1,804,516",5.597068688
Badin,Total,Middle,INSTITUTIONS,MALE,19,"1,804,516",1.052913912
Badin,Total,Middle,INSTITUTIONS,FEMALE,18,"1,804,516",0.99749739
Badin,Total,Middle,INSTITUTIONS,MIXED,64,"1,804,516",3.546657386
Badin,Total,Middle,ENROLMENT,TOTAL,10505,"1,804,516",582.15056
Badin,Total,Middle,ENROLMENT,MALE,6495,"1,804,516",359.9303082
Badin,Total,Middle,ENROLMENT,FEMALE,4010,"1,804,516",222.2202519
Badin,Total,Middle,TEACHING STAFF,TOTAL,382,"1,804,516",21.16911127
Badin,Total,Middle,TEACHING STAFF,MALE,287,"1,804,516",15.90454172
Badin,Total,Middle,TEACHING STAFF,FEMALE,95,"1,804,516",5.264569558
Badin,Total,Secondary,INSTITUTIONS,TOTAL,60,"1,804,516",3.3249913
Badin,Total,Secondary,INSTITUTIONS,MALE,9,"1,804,516",0.498748695
Badin,Total,Secondary,INSTITUTIONS,FEMALE,11,"1,804,516",0.609581738
Badin,Total,Secondary,INSTITUTIONS,MIXED,40,"1,804,516",2.216660866
Badin,Total,Secondary,ENROLMENT,TOTAL,32731,"1,804,516",1813.83817
Badin,Total,Secondary,ENROLMENT,MALE,22440,"1,804,516",1243.546746
Badin,Total,Secondary,ENROLMENT,FEMALE,10291,"1,804,516",570.2914244
Badin,Total,Secondary,TEACHING STAFF,TOTAL,1193,"1,804,516",66.11191034
Badin,Total,Secondary,TEACHING STAFF,MALE,853,"1,804,516",47.27029298
Badin,Total,Secondary,TEACHING STAFF,FEMALE,340,"1,804,516",18.84161736
Badin,Total,Higher secondary,INSTITUTIONS,TOTAL,10,"1,804,516",0.554165217
Badin,Total,Higher secondary,INSTITUTIONS,MALE,2,"1,804,516",0.110833043
Badin,Total,Higher secondary,INSTITUTIONS,FEMALE,3,"1,804,516",0.166249565
Badin,Total,Higher secondary,INSTITUTIONS,MIXED,5,"1,804,516",0.277082608
Badin,Total,Higher secondary,ENROLMENT,TOTAL,11728,"1,804,516",649.924966
Badin,Total,Higher secondary,ENROLMENT,MALE,8394,"1,804,516",465.1662828
Badin,Total,Higher secondary,ENROLMENT,FEMALE,3334,"1,804,516",184.7586832
Badin,Total,Higher secondary,TEACHING STAFF,TOTAL,345,"1,804,516",19.11869997
Badin,Total,Higher secondary,TEACHING STAFF,MALE,225,"1,804,516",12.46871737
Badin,Total,Higher secondary,TEACHING STAFF,FEMALE,120,"1,804,516",6.649982599
Dadu,Urban,Primary,INSTITUTIONS,TOTAL,106,"1,550,266",6.837536268
Dadu,Urban,Primary,INSTITUTIONS,MALE,12,"1,550,266",0.77406071
Dadu,Urban,Primary,INSTITUTIONS,FEMALE,21,"1,550,266",1.354606242
Dadu,Urban,Primary,INSTITUTIONS,MIXED,73,"1,550,266",4.708869317
Dadu,Urban,Primary,ENROLMENT,TOTAL,28748,"1,550,266",1854.39144
Dadu,Urban,Primary,ENROLMENT,MALE,15598,"1,550,266",1006.149912
Dadu,Urban,Primary,ENROLMENT,FEMALE,13150,"1,550,266",848.2415276
Dadu,Urban,Primary,TEACHING STAFF,TOTAL,1173,"1,550,266",75.66443436
Dadu,Urban,Primary,TEACHING STAFF,MALE,765,"1,550,266",49.34637024
Dadu,Urban,Primary,TEACHING STAFF,FEMALE,408,"1,550,266",26.31806413
Dadu,Urban,Middle,INSTITUTIONS,TOTAL,7,"1,550,266",0.451535414
Dadu,Urban,Middle,INSTITUTIONS,MALE,3,"1,550,266",0.193515177
Dadu,Urban,Middle,INSTITUTIONS,FEMALE,1,"1,550,266",0.064505059
Dadu,Urban,Middle,INSTITUTIONS,MIXED,3,"1,550,266",0.193515177
Dadu,Urban,Middle,ENROLMENT,TOTAL,1609,"1,550,266",103.7886401
Dadu,Urban,Middle,ENROLMENT,MALE,1190,"1,550,266",76.76102037
Dadu,Urban,Middle,ENROLMENT,FEMALE,419,"1,550,266",27.02761978
Dadu,Urban,Middle,TEACHING STAFF,TOTAL,63,"1,550,266",4.063818725
Dadu,Urban,Middle,TEACHING STAFF,MALE,57,"1,550,266",3.676788371
Dadu,Urban,Middle,TEACHING STAFF,FEMALE,6,"1,550,266",0.387030355
Dadu,Urban,Secondary,INSTITUTIONS,TOTAL,15,"1,550,266",0.967575887
Dadu,Urban,Secondary,INSTITUTIONS,MALE,8,"1,550,266",0.516040473
Dadu,Urban,Secondary,INSTITUTIONS,FEMALE,5,"1,550,266",0.322525296
Dadu,Urban,Secondary,INSTITUTIONS,MIXED,2,"1,550,266",0.129010118
Dadu,Urban,Secondary,ENROLMENT,TOTAL,13971,"1,550,266",901.2001811
Dadu,Urban,Secondary,ENROLMENT,MALE,8261,"1,550,266",532.8762935
Dadu,Urban,Secondary,ENROLMENT,FEMALE,5710,"1,550,266",368.3238876
Dadu,Urban,Secondary,TEACHING STAFF,TOTAL,487,"1,550,266",31.4139638
Dadu,Urban,Secondary,TEACHING STAFF,MALE,323,"1,550,266",20.8351341
Dadu,Urban,Secondary,TEACHING STAFF,FEMALE,164,"1,550,266",10.5788297
Dadu,Urban,Higher secondary,INSTITUTIONS,TOTAL,4,"1,550,266",0.258020237
Dadu,Urban,Higher secondary,INSTITUTIONS,MALE,1,"1,550,266",0.064505059
Dadu,Urban,Higher secondary,INSTITUTIONS,FEMALE,1,"1,550,266",0.064505059
Dadu,Urban,Higher secondary,INSTITUTIONS,MIXED,2,"1,550,266",0.129010118
Dadu,Urban,Higher secondary,ENROLMENT,TOTAL,3745,"1,550,266",241.5714464
Dadu,Urban,Higher secondary,ENROLMENT,MALE,2234,"1,550,266",144.1043021
Dadu,Urban,Higher secondary,ENROLMENT,FEMALE,1511,"1,550,266",97.46714435
Dadu,Urban,Higher secondary,TEACHING STAFF,TOTAL,133,"1,550,266",8.579172865
Dadu,Urban,Higher secondary,TEACHING STAFF,MALE,78,"1,550,266",5.031394612
Dadu,Urban,Higher secondary,TEACHING STAFF,FEMALE,55,"1,550,266",3.547778252
Dadu,Rural,Primary,INSTITUTIONS,TOTAL,1573,"1,550,266",101.466458
Dadu,Rural,Primary,INSTITUTIONS,MALE,219,"1,550,266",14.12660795
Dadu,Rural,Primary,INSTITUTIONS,FEMALE,227,"1,550,266",14.64264842
Dadu,Rural,Primary,INSTITUTIONS,MIXED,1127,"1,550,266",72.69720164
Dadu,Rural,Primary,ENROLMENT,TOTAL,131121,"1,550,266",8457.967858
Dadu,Rural,Primary,ENROLMENT,MALE,78189,"1,550,266",5043.586068
Dadu,Rural,Primary,ENROLMENT,FEMALE,52932,"1,550,266",3414.38179
Dadu,Rural,Primary,TEACHING STAFF,TOTAL,3823,"1,550,266",246.6028411
Dadu,Rural,Primary,TEACHING STAFF,MALE,3047,"1,550,266",196.5469152
Dadu,Rural,Primary,TEACHING STAFF,FEMALE,776,"1,550,266",50.05592589
Dadu,Rural,Middle,INSTITUTIONS,TOTAL,50,"1,550,266",3.225252957
Dadu,Rural,Middle,INSTITUTIONS,MALE,6,"1,550,266",0.387030355
Dadu,Rural,Middle,INSTITUTIONS,FEMALE,12,"1,550,266",0.77406071
Dadu,Rural,Middle,INSTITUTIONS,MIXED,32,"1,550,266",2.064161892
Dadu,Rural,Middle,ENROLMENT,TOTAL,10058,"1,550,266",648.7918847
Dadu,Rural,Middle,ENROLMENT,MALE,5898,"1,550,266",380.4508388
Dadu,Rural,Middle,ENROLMENT,FEMALE,4160,"1,550,266",268.341046
Dadu,Rural,Middle,TEACHING STAFF,TOTAL,391,"1,550,266",25.22147812
Dadu,Rural,Middle,TEACHING STAFF,MALE,277,"1,550,266",17.86790138
Dadu,Rural,Middle,TEACHING STAFF,FEMALE,114,"1,550,266",7.353576741
Dadu,Rural,Secondary,INSTITUTIONS,TOTAL,55,"1,550,266",3.547778252
Dadu,Rural,Secondary,INSTITUTIONS,MALE,11,"1,550,266",0.70955565
Dadu,Rural,Secondary,INSTITUTIONS,FEMALE,13,"1,550,266",0.838565769
Dadu,Rural,Secondary,INSTITUTIONS,MIXED,31,"1,550,266",1.999656833
Dadu,Rural,Secondary,ENROLMENT,TOTAL,24330,"1,550,266",1569.408089
Dadu,Rural,Secondary,ENROLMENT,MALE,15343,"1,550,266",989.7011223
Dadu,Rural,Secondary,ENROLMENT,FEMALE,8987,"1,550,266",579.7069664
Dadu,Rural,Secondary,TEACHING STAFF,TOTAL,893,"1,550,266",57.6030178
Dadu,Rural,Secondary,TEACHING STAFF,MALE,691,"1,550,266",44.57299586
Dadu,Rural,Secondary,TEACHING STAFF,FEMALE,202,"1,550,266",13.03002194
Dadu,Rural,Higher secondary,INSTITUTIONS,TOTAL,11,"1,550,266",0.70955565
Dadu,Rural,Higher secondary,INSTITUTIONS,MALE,3,"1,550,266",0.193515177
Dadu,Rural,Higher secondary,INSTITUTIONS,FEMALE,1,"1,550,266",0.064505059
Dadu,Rural,Higher secondary,INSTITUTIONS,MIXED,7,"1,550,266",0.451535414
Dadu,Rural,Higher secondary,ENROLMENT,TOTAL,9332,"1,550,266",601.9612118
Dadu,Rural,Higher secondary,ENROLMENT,MALE,7187,"1,550,266",463.59786
Dadu,Rural,Higher secondary,ENROLMENT,FEMALE,2145,"1,550,266",138.3633518
Dadu,Rural,Higher secondary,TEACHING STAFF,TOTAL,268,"1,550,266",17.28735585
Dadu,Rural,Higher secondary,TEACHING STAFF,MALE,227,"1,550,266",14.64264842
Dadu,Rural,Higher secondary,TEACHING STAFF,FEMALE,41,"1,550,266",2.644707424
Dadu,Total,Primary,INSTITUTIONS,TOTAL,1679,"1,550,266",108.3039943
Dadu,Total,Primary,INSTITUTIONS,MALE,231,"1,550,266",14.90066866
Dadu,Total,Primary,INSTITUTIONS,FEMALE,248,"1,550,266",15.99725466
Dadu,Total,Primary,INSTITUTIONS,MIXED,1200,"1,550,266",77.40607096
Dadu,Total,Primary,ENROLMENT,TOTAL,159869,"1,550,266",10312.3593
Dadu,Total,Primary,ENROLMENT,MALE,93787,"1,550,266",6049.735981
Dadu,Total,Primary,ENROLMENT,FEMALE,66082,"1,550,266",4262.623318
Dadu,Total,Primary,TEACHING STAFF,TOTAL,4996,"1,550,266",322.2672754
Dadu,Total,Primary,TEACHING STAFF,MALE,3812,"1,550,266",245.8932854
Dadu,Total,Primary,TEACHING STAFF,FEMALE,1184,"1,550,266",76.37399001
Dadu,Total,Middle,INSTITUTIONS,TOTAL,57,"1,550,266",3.676788371
Dadu,Total,Middle,INSTITUTIONS,MALE,9,"1,550,266",0.580545532
Dadu,Total,Middle,INSTITUTIONS,FEMALE,13,"1,550,266",0.838565769
Dadu,Total,Middle,INSTITUTIONS,MIXED,35,"1,550,266",2.25767707
Dadu,Total,Middle,ENROLMENT,TOTAL,11667,"1,550,266",752.5805249
Dadu,Total,Middle,ENROLMENT,MALE,7088,"1,550,266",457.2118591
Dadu,Total,Middle,ENROLMENT,FEMALE,4579,"1,550,266",295.3686658
Dadu,Total,Middle,TEACHING STAFF,TOTAL,454,"1,550,266",29.28529685
Dadu,Total,Middle,TEACHING STAFF,MALE,334,"1,550,266",21.54468975
Dadu,Total,Middle,TEACHING STAFF,FEMALE,120,"1,550,266",7.740607096
Dadu,Total,Secondary,INSTITUTIONS,TOTAL,70,"1,550,266",4.515354139
Dadu,Total,Secondary,INSTITUTIONS,MALE,19,"1,550,266",1.225596124
Dadu,Total,Secondary,INSTITUTIONS,FEMALE,18,"1,550,266",1.161091064
Dadu,Total,Secondary,INSTITUTIONS,MIXED,33,"1,550,266",2.128666951
Dadu,Total,Secondary,ENROLMENT,TOTAL,38301,"1,550,266",2470.60827
